texte,mot_errone,mot_corrige,position_mot,difficulte,temps_limite,groupe
"Il crache du feu très chau sur les frites de ses ennemis affamés.","chau","chaud",5,4,20,"g01"
"Il craches du feu très chaud sur les frites de ses ennemis affamés.","craches","crache",1,4,20,"g01"
"Elle ronfle si fort la nuit que tous les voisins porte des bouchons.","porte","portent",9,5,20,"g02"
"Elle ronfle si for la nuit que tous les voisins portent des bouchons.","for","fort",3,4,20,"g02"
"Elle ronflent si fort la nuit que tous les voisins portent des bouchons.","ronflent","ronfle",1,4,20,"g02"
"Elle ronfle si fort la nuit que tout les voisins portent des bouchons.","tout","tous",7,6,20,"g02"
"Elle ronfle si fort la nuit que tous les voisains portent des bouchons.","voisains","voisins",9,5,20,"g02"
"Ce Pokémon mange toujour trop vite et tombe souvent sur le ventre.","toujour","toujours",3,4,20,"g03"
"Ce Pokémon mange toujours trop vite et tombe souvant sur le ventre.","souvant","souvent",8,4,20,"g03"
"Ce Pokémon manges toujours trop vite et tombe souvent sur le ventre.","manges","mange",2,5,20,"g03"
"Ce Pokémon mange toujours trop vite et tombe souvent sur le vantre.","vantre","ventre",11,4,20,"g03"
"Ce Pokémon mange toujours trop vite et tombent souvent sur le ventre.","tombent","tombe",7,5,20,"g03"
"Il court trés vite mais trébuche toujours sur sa propre queue immense.","très","très",2,5,20,"g04"
"Il court très vite mais trebuche toujours sur sa propre queue immense.","trebuche","trébuche",5,6,20,"g04"
"Il court très vite mais trébuche toujours sur sa propre queue imense.","imense","immense",11,5,20,"g04"
"Il court très vite mais trébuche toujours sur sa propre que immense.","que","queue",10,5,20,"g04"
"Il cour très vite mais trébuche toujours sur sa propre queue immense.","cour","court",1,5,20,"g04"
"Elle éternu si fort que ses amis volent jusqu'aux nuages tout blancs.","éternu","éternue",1,5,20,"g05"
"Elle éternue si fort que ses amis volent jusqu'aux nuages tout blans.","blans","blancs",11,5,20,"g05"
"Elle éternue si fort que ses amis volent jusqu'aux nuages tout blanc.","blanc","blancs",11,5,20,"g05"
"Elle éternue si fort que ses amis volent jusqu'aux nuages tous blancs.","tous","tout",10,6,20,"g05"
"Elle éternue si fort que ses amis volent juscaux nuages tout blancs.","juscaux","jusqu'aux",8,4,20,"g05"
"Ce Pokémon glouton avalle ses adversaires entiers et les recrache bien baveux.","avalle","avale",4,6,20,"g06"
"Ce Pokémon glouton avale ses adversaires entiers et les recrache bien baveu.","baveu","baveux",11,6,20,"g06"
"Ce Pokémon glouton avale ses adversaires entier et les recrache bien baveux.","entier","entiers",6,6,20,"g06"
"Ce Pokémon glouton avale ses adversères entiers et les recrache bien baveux.","adversères","adversaires",5,6,20,"g06"
"Ce Pokémon glouton avale ses adversaires entiers et les recrachent bien baveux.","recrachent","recrache",8,7,20,"g06"
"Elle produit des éclairs fulgurents mais a souvent peur de son ombre.","fulgurents","fulgurants",4,6,20,"g07"
"Elle produit des éclairs fulgurants mais a souvant peur de son ombre.","souvant","souvent",6,6,20,"g07"
"Elle produit des éclairs fulgurant mais a souvent peur de son ombre.","fulgurant","fulgurants",4,6,20,"g07"
"Elle produit des éclairs fulgurants mais a souvent peur de sont ombre.","sont","son",10,5,20,"g07"
"Elle produit des éclairs fulgurants mais à souvent peur de son ombre.","à","a",6,6,20,"g07"
"Il lanse des boules de glace parfaites mais rate toujours sa cible.","lanse","lance",1,5,20,"g08"
"Il lance des boules de glace parfaites mais rate toujours ça cible.","ça","sa",10,5,20,"g08"
"Il lance des boules de glace parfètes mais rate toujours sa cible.","parfètes","parfaites",6,6,20,"g08"
"Il lance des boules de glace parfaites mais ratent toujours sa cible.","ratent","rate",8,6,20,"g08"
"Il lance des boules de glasse parfaites mais rate toujours sa cible.","glasse","glace",5,5,20,"g08"
"Ce Pokémon endormi ronfle si bruyament que les montagnes voisines tremblent fortement.","bruyament","bruyamment",5,6,20,"g09"
"Ce Pokémon endormi ronfle si bruyamment que les montagnes voisines tremble fortement.","tremble","tremblent",10,6,20,"g09"
"Ce Pokémon endormi ronfle si bruyamment que les montagnes voisines tremblent fortemant.","fortemant","fortement",11,6,20,"g09"
"Ce Pokémon endormit ronfle si bruyamment que les montagnes voisines tremblent fortement.","endormit","endormi",2,7,20,"g09"
"Ce Pokémon endormi ronfles si bruyamment que les montagnes voisines tremblent fortement.","ronfles","ronfle",3,6,20,"g09"
"Elle agite ces grandes oreilles poilues pour refroidir ses copains épuisés.","ces","ses",2,6,20,"g10"
"Elle agite ses grandes oreilles poilus pour refroidir ses copains épuisés.","poilus","poilues",5,6,20,"g10"
"Elle agite ses grandes oreilles poilues pour refroidir ces copains épuisés.","ces","ses",8,6,20,"g10"
"Elle agite ses grendes oreilles poilues pour refroidir ses copains épuisés.","grendes","grandes",3,5,20,"g10"
"Elle agite ses grandes oreilles poilues pour refroidir ses copins épuisés.","copins","copains",9,6,20,"g10"
"Il hipnotise facilement ses ennemis vaincus et leur ordonne de danser la samba.","hipnotise","hyptontise",1,8,20,"g11"
"Il hypnotise facilement ses ennemis vaincu et leur ordonne de danser la samba.","vaincu","vaincus",5,6,20,"g11"
"Il hypnotise facilement ses ennemis vaincus et leur ordonnent de danser la samba.","ordonnent","ordonne",8,7,20,"g11"
"Il hypnotise facilement ses ennemis vaincus et leur ordonne de dansé la samba.","dansé","danser",11,7,20,"g11"
"Il hypnotise fassilement ses ennemis vaincus et leur ordonne de danser la samba.","fassilement","facilement",2,6,20,"g11"
"Ce Pokémon invisible renverse toujours maladroitemant ses proies étonnées de ne pas le voir arriver.","maladroitemant","maladroitement",5,7,20,"g12"
"Ce Pokémon invisible renverse toujours maladroitement ses proies étonnées de ne pas le voir arrivé.","arrivé","arriver",14,7,20,"g12"
"Ce Pokémon invisible renverse toujours maladriotement ses proies étonnées de ne pas le voir arriver.","maladriotement","maladroitement",5,7,20,"g12"
"Ce Pokémon invisible renverse toujours maladroitement ses proies étonnés de ne pas le voir arriver.","étonnés","étonnées",8,7,20,"g12"
"Ce Pokémon invisible renverse toujours maladroitement ses proies etonnées de ne pas le voir arriver.","etonnées","étonnées",8,8,20,"g12"
"Elle crache du venin verdatre sur quiconque ose toucher ses précieux œufs en chocolat.","verdatre","verdâtre",4,9,20,"g13"
"Elle crache du venin verdâtre sur quiconque ose toucher ces précieux œufs en chocolat.","ces","ses",9,8,20,"g13"
"Elle crache du venin verdâtre sur quiquonque ose toucher ses précieux œufs en chocolat.","quiquonque","quiconque",6,7,20,"g13"
"Elle crache du venin verdâtre sur quiconque ose toucher ses précieux œufs en chocola.","chocola","chocolat",13,6,20,"g13"
"Elle crache du venin verdâtre sur quiconque ose toucher ses précieux œuf en chocolat.","œuf","œufs",11,6,20,"g13"
"Ce Pokémon géant détruit accidentellement les jolies maisons construites par ces petits voisins.","ces","ses",10,7,20,"g14"
"Ce Pokémon géant détrui accidentellement les jolies maisons construites par ses petits voisins.","détrui","détruit",3,6,20,"g14"
"Ce Pokémon géant détruit accidentelement les jolies maisons construites par ses petits voisins.","accidentelement","accidentellement",4,7,20,"g14"
"Ce Pokémon géant détruit accidentellement les jolies maisons construits par ses petits voisins.","construits","construites",8,7,20,"g14"
"Ce Pokémon geant détruit accidentellement les jolies maisons construites par ses petits voisins.","geant","géant",3,6,20,"g14"
"Il parle courament sept langues différentes mais oublie toujours son propre prénom.","courament","couramment",2,8,20,"g15"
"Il parle couramment sept langues diférentes mais oublie toujours son propre prénom.","diférentes","différentes",5,7,20,"g15"
"Il parle couramment sept langues différentes mais oublie toujours sont propre prénom.","sont","son",9,7,20,"g15"
"Il parle couramment sept langues différentes mais oublie toujours son propre prénon.","prénon","prénom",11,7,20,"g15"
"Il parle courammant sept langues différentes mais oublie toujours son propre prénom.","courammant","couramment",2,7,20,"g15"
